galaxy,image,follow_up,comment
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star157.png,False,test
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star217.png,False,bkg galaxy? - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star149.png,False,SN 2009hd - Jeniveve
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star186.png,True,something still there - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star397.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star170.png,True,looks to be fading -JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star332.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star359.png,True,Inspect imgs - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star441.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star394.png,False,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star385.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star65.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star122.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star234.png,True,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star158.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star41.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star274.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star100.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star120.png,True,SN? - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star467.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star49.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star98.png,True,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star253.png,True,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star63.png,True,might be still there - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star195.png,True,fading source - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star239.png,True,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star25.png,True,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star316.png,True,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star312.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star256.png,True,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star250.png,True,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star18.png,True,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star129.png,True,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star248.png,True,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star199.png,True,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star247.png,False,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star246.png,True,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star124.png,True,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star258.png,True,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star213.png,True,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star89.png,True,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star163.png,True,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star187.png,True,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star249.png,True,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star378.png,True,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star307.png,True,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star14.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star128.png,False,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star381.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star365.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star302.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star409.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star352.png,False,variable? - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star306.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star474.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star400.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star183.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star60.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star327.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star0.png,False,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star172.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star23.png,False,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star455.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star260.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star197.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star379.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star140.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star478.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star477.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star113.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star78.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star334.png,False,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star108.png,False,
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star341.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star449.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star136.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star315.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star470.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star69.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star414.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star58.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star21.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star398.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star16.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star56.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star458.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star265.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star116.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star475.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star142.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star460.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star311.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star366.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star325.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star459.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star173.png,False,variable - JP
sciimg_NGC3627,static/images/sciimg_NGC3627/sciimg_NGC3627_star392.png,False,dead pixel in 2013 - JP
